,file_name,Longitudinal,Chain,Author,Isotype,Age,Size_igblastn,Disease,Link,BSource,BType,Size,Species,Vaccine,Subject,valid_entry_num
903,Ellebedy_2016_Day-0_memory-B-cell_IGHG_memory-B-cell_Day-0_Donor-6_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,121448,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,93596,human,None,Donor-6,4319
904,Ellebedy_2016_Day-0_memory-B-cell_IGHM_memory-B-cell_Day-0_Donor-4_igblastn_IGHM,Day-0,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,53289,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,45237,human,None,Donor-4,1185
905,Ellebedy_2016_Day-0_memory-B-cell_IGHM_memory-B-cell_Day-0_Donor-5_igblastn_IGHM,Day-0,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,76563,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,57843,human,None,Donor-5,2852
906,Ellebedy_2016_Day-0_memory-B-cell_IGHM_memory-B-cell_Day-0_Donor-6_igblastn_IGHM,Day-0,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,55648,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,43094,human,None,Donor-6,1751
907,Ellebedy_2016_Day-0_naive-B-cell_Bulk_naive-B-cell_Day-0_Donor-6_igblastn_Bulk,Day-0,Heavy,"Ellebedy et al., (2016)",Bulk,18-49,17,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,12,human,None,Donor-6,2
908,Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-4_igblastn_IGHA,Day-0,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,20,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,20,human,None,Donor-4,1
909,Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-5_igblastn_IGHA,Day-0,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,7494,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,5152,human,None,Donor-5,123
910,Ellebedy_2016_Day-0_naive-B-cell_IGHA_naive-B-cell_Day-0_Donor-6_igblastn_IGHA,Day-0,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,14481,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,9151,human,None,Donor-6,147
911,Ellebedy_2016_Day-0_naive-B-cell_IGHD_naive-B-cell_Day-0_Donor-5_igblastn_IGHD,Day-0,Heavy,"Ellebedy et al., (2016)",IGHD,18-49,142,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,119,human,None,Donor-5,7
912,Ellebedy_2016_Day-0_naive-B-cell_IGHD_naive-B-cell_Day-0_Donor-6_igblastn_IGHD,Day-0,Heavy,"Ellebedy et al., (2016)",IGHD,18-49,22713,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,16880,human,None,Donor-6,812
913,Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-4_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,369,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,342,human,None,Donor-4,5
914,Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-5_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,15253,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,12074,human,None,Donor-5,312
915,Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-6_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,4801,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,2315,human,None,Donor-6,104
916,Ellebedy_2016_Day-0_naive-B-cell_IGHG_naive-B-cell_Day-0_Donor-8_igblastn_IGHG,Day-0,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,6202,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,4723,human,None,Donor-8,36
917,Ellebedy_2016_Day-0_naive-B-cell_IGHM_naive-B-cell_Day-0_Donor-4_igblastn_IGHM,Day-0,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,27936,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,17650,human,None,Donor-4,973
918,Ellebedy_2016_Day-0_naive-B-cell_IGHM_naive-B-cell_Day-0_Donor-5_igblastn_IGHM,Day-0,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,68977,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,45042,human,None,Donor-5,1548
919,Ellebedy_2016_Day-0_naive-B-cell_IGHM_naive-B-cell_Day-0_Donor-8_igblastn_IGHM,Day-0,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,10516,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,8144,human,None,Donor-8,76
1118,Ellebedy_2016_Day-7_naive-B-cell_IGHD_naive-B-cell_Day-7_Donor-157_igblastn_IGHD,Day-7,Heavy,"Ellebedy et al., (2016)",IGHD,18-49,850,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,49,human,Flu,Donor-157,4
1119,Ellebedy_2016_Day-7_naive-B-cell_IGHG_naive-B-cell_Day-7_Donor-155_igblastn_IGHG,Day-7,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,1912,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,38,human,Flu,Donor-155,3
1120,Ellebedy_2016_Day-7_naive-B-cell_IGHG_naive-B-cell_Day-7_Donor-157_igblastn_IGHG,Day-7,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,1856,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,13,human,Flu,Donor-157,1
1121,Ellebedy_2016_Day-7_naive-B-cell_IGHG_naive-B-cell_Day-7_Donor-163_igblastn_IGHG,Day-7,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,40873,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,3090,human,Flu,Donor-163,58
1122,Ellebedy_2016_Day-7_naive-B-cell_IGHM_naive-B-cell_Day-7_Donor-155_igblastn_IGHM,Day-7,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,66737,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,2363,human,Flu,Donor-155,150
1123,Ellebedy_2016_Day-7_naive-B-cell_IGHM_naive-B-cell_Day-7_Donor-157_igblastn_IGHM,Day-7,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,49259,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,2058,human,Flu,Donor-157,143
1124,Ellebedy_2016_Day-7_naive-B-cell_IGHM_naive-B-cell_Day-7_Donor-163_igblastn_IGHM,Day-7,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,61884,None,https://www.nature.com/articles/ni.3533,PBMC,Naive-B-Cells,2529,human,Flu,Donor-163,88
1149,Ellebedy_2016_Day-90_memory-B-cell_Bulk_memory-B-cell_Day-90_Donor-5_igblastn_Bulk,Day-90,Heavy,"Ellebedy et al., (2016)",Bulk,18-49,147,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,57,human,Flu,Donor-5,1
1150,Ellebedy_2016_Day-90_memory-B-cell_IGHA_memory-B-cell_Day-90_Donor-4_igblastn_IGHA,Day-90,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,366604,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,198257,human,Flu,Donor-4,6254
1151,Ellebedy_2016_Day-90_memory-B-cell_IGHA_memory-B-cell_Day-90_Donor-6_igblastn_IGHA,Day-90,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,222594,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,120580,human,Flu,Donor-6,2234
1152,Ellebedy_2016_Day-90_memory-B-cell_IGHA_memory-B-cell_Day-90_Donor-8_igblastn_IGHA,Day-90,Heavy,"Ellebedy et al., (2016)",IGHA,18-49,179837,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,83483,human,Flu,Donor-8,2361
1153,Ellebedy_2016_Day-90_memory-B-cell_IGHG_memory-B-cell_Day-90_Donor-4_igblastn_IGHG,Day-90,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,673201,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,354120,human,Flu,Donor-4,10591
1154,Ellebedy_2016_Day-90_memory-B-cell_IGHG_memory-B-cell_Day-90_Donor-5_igblastn_IGHG,Day-90,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,578632,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,272405,human,Flu,Donor-5,3786
1155,Ellebedy_2016_Day-90_memory-B-cell_IGHG_memory-B-cell_Day-90_Donor-6_igblastn_IGHG,Day-90,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,266828,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,143546,human,Flu,Donor-6,2681
1156,Ellebedy_2016_Day-90_memory-B-cell_IGHG_memory-B-cell_Day-90_Donor-8_igblastn_IGHG,Day-90,Heavy,"Ellebedy et al., (2016)",IGHG,18-49,407821,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,209949,human,Flu,Donor-8,3093
1157,Ellebedy_2016_Day-90_memory-B-cell_IGHM_memory-B-cell_Day-90_Donor-5_igblastn_IGHM,Day-90,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,452752,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,281854,human,Flu,Donor-5,8522
1158,Ellebedy_2016_Day-90_memory-B-cell_IGHM_memory-B-cell_Day-90_Donor-6_igblastn_IGHM,Day-90,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,174949,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,106440,human,Flu,Donor-6,4308
1159,Ellebedy_2016_Day-90_memory-B-cell_IGHM_memory-B-cell_Day-90_Donor-8_igblastn_IGHM,Day-90,Heavy,"Ellebedy et al., (2016)",IGHM,18-49,228971,None,https://www.nature.com/articles/ni.3533,PBMC,Memory-B-Cells,89944,human,Flu,Donor-8,246
1196,Galson_2015_Visit-1_Subject-1009_IgG_Subject-1009_Visit-1_treatment-MenACWY-conjugate_Memory-B-cells_IgG_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHG,30-70,90679,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,66586,human,None,Subject-1009,796
1198,Galson_2015_Visit-1_Subject-1009_IgM_Subject-1009_Visit-1_treatment-MenACWY-conjugate_Memory-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,137196,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,115312,human,None,Subject-1009,3105
1199,Galson_2015_Visit-1_Subject-1009_IgM_Subject-1009_Visit-1_treatment-MenACWY-conjugate_Naive-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,128600,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,103220,human,None,Subject-1009,2268
1200,Galson_2015_Visit-1_Subject-1010_IgG_Subject-1010_Visit-1_treatment-MenACWY-conjugate_Memory-B-cells_IgG_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHG,30-70,90070,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,65771,human,None,Subject-1010,2389
1202,Galson_2015_Visit-1_Subject-1010_IgM_Subject-1010_Visit-1_treatment-MenACWY-conjugate_Memory-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,138479,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,113817,human,None,Subject-1010,4729
1203,Galson_2015_Visit-1_Subject-1010_IgM_Subject-1010_Visit-1_treatment-MenACWY-conjugate_Naive-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,122275,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,92253,human,None,Subject-1010,2592
1204,Galson_2015_Visit-1_Subject-1011_IgG_Subject-1011_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgG_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHG,30-70,102672,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,79003,human,None,Subject-1011,1371
1206,Galson_2015_Visit-1_Subject-1011_IgM_Subject-1011_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,124627,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,101850,human,None,Subject-1011,2004
1207,Galson_2015_Visit-1_Subject-1011_IgM_Subject-1011_Visit-1_treatment-MenACWY-polysaccharide_Naive-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,126763,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,100567,human,None,Subject-1011,2046
1208,Galson_2015_Visit-1_Subject-1015_IgG_Subject-1015_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgG_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHG,30-70,93294,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,73856,human,None,Subject-1015,1878
1210,Galson_2015_Visit-1_Subject-1015_IgM_Subject-1015_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,133041,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,111818,human,None,Subject-1015,3153
1211,Galson_2015_Visit-1_Subject-1015_IgM_Subject-1015_Visit-1_treatment-MenACWY-polysaccharide_Naive-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,118220,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,94462,human,None,Subject-1015,2418
1212,Galson_2015_Visit-1_Subject-1017_IgG_Subject-1017_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgG_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHG,30-70,87501,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,67995,human,None,Subject-1017,1631
1214,Galson_2015_Visit-1_Subject-1017_IgM_Subject-1017_Visit-1_treatment-MenACWY-polysaccharide_Memory-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,132135,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,113378,human,None,Subject-1017,3069
1215,Galson_2015_Visit-1_Subject-1017_IgM_Subject-1017_Visit-1_treatment-MenACWY-polysaccharide_Naive-B-cells_IgM_iglblastn,Visit-1,Heavy,"Galson et al., (2015)",IGHM,30-70,125389,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,105895,human,None,Subject-1017,5409
1255,Galson_2015_Visit-4_Subject-1001_IgG_Subject-1001_Visit-4_treatment-MenACWY-conjugate_Memory-B-cells_IgG_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHG,30-70,96901,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,72249,human,MenACWY-conjugate,Subject-1001,1255
1257,Galson_2015_Visit-4_Subject-1001_IgM_Subject-1001_Visit-4_treatment-MenACWY-conjugate_Memory-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,128737,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,107361,human,MenACWY-conjugate,Subject-1001,2579
1258,Galson_2015_Visit-4_Subject-1001_IgM_Subject-1001_Visit-4_treatment-MenACWY-conjugate_Naive-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,128872,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,106668,human,MenACWY-conjugate,Subject-1001,2777
1259,Galson_2015_Visit-4_Subject-1014_IgG_Subject-1014_Visit-4_treatment-MenACWY-polysaccharide_Memory-B-cells_IgG_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHG,30-70,98484,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,75980,human,MenACWY-polysaccharide,Subject-1014,1009
1261,Galson_2015_Visit-4_Subject-1014_IgM_Subject-1014_Visit-4_treatment-MenACWY-polysaccharide_Memory-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,122339,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,100561,human,MenACWY-polysaccharide,Subject-1014,2534
1262,Galson_2015_Visit-4_Subject-1014_IgM_Subject-1014_Visit-4_treatment-MenACWY-polysaccharide_Naive-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,135380,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,108653,human,MenACWY-polysaccharide,Subject-1014,3553
1263,Galson_2015_Visit-4_Subject-1018_IgG_Subject-1018_Visit-4_treatment-MenACWY-conjugate_Memory-B-cells_IgG_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHG,30-70,94416,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,76136,human,MenACWY-conjugate,Subject-1018,1068
1265,Galson_2015_Visit-4_Subject-1018_IgM_Subject-1018_Visit-4_treatment-MenACWY-conjugate_Memory-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,139295,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,112308,human,MenACWY-conjugate,Subject-1018,2760
1266,Galson_2015_Visit-4_Subject-1018_IgM_Subject-1018_Visit-4_treatment-MenACWY-conjugate_Naive-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,131519,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,106594,human,MenACWY-conjugate,Subject-1018,2096
1267,Galson_2015_Visit-4_Subject-1020_IgG_Subject-1020_Visit-4_treatment-MenACWY-polysaccharide_Memory-B-cells_IgG_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHG,30-70,102006,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,82988,human,MenACWY-polysaccharide,Subject-1020,1330
1269,Galson_2015_Visit-4_Subject-1020_IgM_Subject-1020_Visit-4_treatment-MenACWY-polysaccharide_Memory-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,134928,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Memory-B-Cells,109377,human,MenACWY-polysaccharide,Subject-1020,1850
1270,Galson_2015_Visit-4_Subject-1020_IgM_Subject-1020_Visit-4_treatment-MenACWY-polysaccharide_Naive-B-cells_IgM_iglblastn,Visit-4,Heavy,"Galson et al., (2015)",IGHM,30-70,132980,None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4551417/,PBMC,Naive-B-Cells,106831,human,MenACWY-polysaccharide,Subject-1020,5459
1801,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S100_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,1569,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,1176,human,None,S100,17
1802,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S10_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,6922,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,5853,human,None,S10,86
1803,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S11_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,805,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,702,human,None,S11,15
1804,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S12_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,998,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,827,human,None,S12,13
1805,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S14_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,197,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,180,human,None,S14,2
1806,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S15_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,4103,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,3611,human,None,S15,55
1807,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S16_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,3164,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,2726,human,None,S16,40
1808,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S17_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,2256,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,1660,human,None,S17,18
1809,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S18_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,2880,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,2278,human,None,S18,38
1810,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S19_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,1920,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,1484,human,None,S19,25
1811,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S1_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,20,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,18,human,None,S1,2
1812,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S20_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,3572,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,3081,human,None,S20,61
1813,Gidoni_2019_Heavy_Healthy-celiac-disease_IGHA_Heavy_Healthy-celiac-disease_S21_Naive-B-Cells_igblastn_IGHA,no,Heavy,"Gidoni et al., (2019)",Bulk,no,8123,Healthy/celiac-disease,https://www.nature.com/articles/s41467-019-08489-3,PBMC,Naive-B-Cells,7206,human,None,S21,82
